id,Geo_NAME,name,rate
13309,Maui County,"Maui County, Hawaii",39
13311,Ada County,"Ada County, Idaho",26
13313,Adams County,"Adams County, Idaho",33
13315,Bannock County,"Bannock County, Idaho",35
13317,Bear Lake County,"Bear Lake County, Idaho",41
13319,Benewah County,"Benewah County, Idaho",34
13321,Bingham County,"Bingham County, Idaho",44
15000,Blaine County,"Blaine County, Idaho",25
15001,Boise County,"Boise County, Idaho",26
15003,Bonner County,"Bonner County, Idaho",24
15005,Bonneville County,"Bonneville County, Idaho",12
15007,Boundary County,"Boundary County, Idaho",24
15009,Butte County,"Butte County, Idaho",25
16000,Camas County,"Camas County, Idaho",29
16001,Canyon County,"Canyon County, Idaho",25
16003,Caribou County,"Caribou County, Idaho",32
16005,Cassia County,"Cassia County, Idaho",31
16007,Clark County,"Clark County, Idaho",30
16009,Clearwater County,"Clearwater County, Idaho",30
16011,Custer County,"Custer County, Idaho",34
16013,Elmore County,"Elmore County, Idaho",17
16015,Franklin County,"Franklin County, Idaho",30
16017,Fremont County,"Fremont County, Idaho",25
16019,Gem County,"Gem County, Idaho",29
16021,Gooding County,"Gooding County, Idaho",27
16023,Idaho County,"Idaho County, Idaho",26
16025,Jefferson County,"Jefferson County, Idaho",30
16027,Jerome County,"Jerome County, Idaho",35
16029,Kootenai County,"Kootenai County, Idaho",28
16031,Latah County,"Latah County, Idaho",34
16033,Lemhi County,"Lemhi County, Idaho",27
16035,Lewis County,"Lewis County, Idaho",34
16037,Lincoln County,"Lincoln County, Idaho",24
16039,Madison County,"Madison County, Idaho",36
16041,Minidoka County,"Minidoka County, Idaho",29
16043,Nez Perce County,"Nez Perce County, Idaho",29
16045,Oneida County,"Oneida County, Idaho",38
16047,Owyhee County,"Owyhee County, Idaho",31
16049,Payette County,"Payette County, Idaho",30
16051,Power County,"Power County, Idaho",36
16053,Shoshone County,"Shoshone County, Idaho",32
16055,Teton County,"Teton County, Idaho",26
16057,Twin Falls County,"Twin Falls County, Idaho",26
16059,Valley County,"Valley County, Idaho",25
16061,Washington County,"Washington County, Idaho",31
16063,Adams County,"Adams County, Illinois",30
16065,Alexander County,"Alexander County, Illinois",27
16067,Bond County,"Bond County, Illinois",31
16069,Boone County,"Boone County, Illinois",30
16071,Brown County,"Brown County, Illinois",32
16073,Bureau County,"Bureau County, Illinois",40
16075,Calhoun County,"Calhoun County, Illinois",38
16077,Carroll County,"Carroll County, Illinois",39
16079,Cass County,"Cass County, Illinois",35
16081,Champaign County,"Champaign County, Illinois",19
16083,Christian County,"Christian County, Illinois",31
16085,Clark County,"Clark County, Illinois",29
16087,Clay County,"Clay County, Illinois",36
17000,Clinton County,"Clinton County, Illinois",30
17001,Coles County,"Coles County, Illinois",38
17003,Cook County,"Cook County, Illinois",18
17005,Crawford County,"Crawford County, Illinois",28
17007,Cumberland County,"Cumberland County, Illinois",34
17009,DeKalb County,"DeKalb County, Illinois",21
17011,De Witt County,"De Witt County, Illinois",32
17013,Douglas County,"Douglas County, Illinois",30
17015,DuPage County,"DuPage County, Illinois",29
